,address,description,lat,lng,title
0,"258 Broadhollow Rd. STE 3 Farmingdale, NY 11735","<p>I am a Ceramic Pro Installer.<br />To get a free Ceramic Pro quote <br />for your vehicle, <a href=""https://ceramicpro.com/freequote/"" target=""_blank"" rel=""noopener"">Click Here</a>.<br />To send us an email, <a href=""https://ceramicpro.com/contact/"" target=""_blank"" rel=""noopener"">Contact Us</a></p>",40.7152108,-73.4278531,Andrew Hoffman
1,"142 Underhill Blvd Syosset, NY 11791","<p>Ceramic Pro Elite Dealer<br /><a href=""https://ceramicpro.com/syosset"" target=""_blank"" rel=""noopener""><strong>Tap here to visit Elite Dealer page.</strong></a></p>",40.821754,-73.506356,Ceramic Pro Syosset
2,"162 Earle Ave, Lynbrook, NY 11563, USA","<p><a>516-567-0269</a><br /><a href=""https://ceramicpro.com/lynbrook/"" target=""_blank"" rel=""noopener noreferrer"">Website</a><br /><a href=""mailto:cpfeff80@gmail.com?subject=I%20want%20Ceramic%20Pro%20"">Send Email</a></p>",40.6563342,-73.6680841,Ceramic Pro Lynbrook
3,"816 E Boston Post Rd, Mamaroneck, NY 10543, USA","<p>I am a Ceramic Pro Installer.<br /><a href=""https://ceramicpro.com/ freequote/"" target=""_blank"" rel=""noopener""><strong>Tap here for a free quote.</strong></a></p>",40.953721,-73.724551,Chris Marrero
4,"19 Portman Rd, New Rochelle, NY 10801, USA","<a href=""tel:914-497-7481"">914-497-7481</a><br><br /><a href=""http:///"" target=""_blank"" rel=""noopener noreferrer"">WEBSITE</a><br><br /><a href=""mailto:indioswash@hotmail.com?subject=I%20want%20Ceramic%20Pro%20"">Send Email</a><br>",40.927914,-73.772101,Ceramic Pro New Rochelle
5,"2975 Brighton Henrietta Town Line , ste170, Rochester, NY, 14623","<a href=""tel:585-410-4583"">585-410-4583</a><br><br /><a href=""https://ceramicpro.com/rochester/"" target=""_blank"" rel=""noopener noreferrer"">Website</a><br><br /><a href=""mailto:titanmwroc@gmail.com?subject=I%20found%20you%20on%20CeramicPro.com%20"">Send Email</a><br>",43.0952646,-77.5967413,James Catone
6,"2975 Brighton Henrietta Town Line Rochester, NY 14623","<a href=""tel:585-410-4583"">585-410-4583</a><br><br /><a href=""http://ceramicpro.com/rochester/"" target=""_blank"" rel=""noopener noreferrer"">Website</a><br><br /><a href=""mailto:padautodetail@gmail.com?subject=I%20found%20you%20on%20CeramicPro.com%20"">Send Email</a><br>",43.16427,-77.587799,Ceramic Pro Rochester
7,"2655 Webster Ave, Bronx, NY, 10458, USA","<p>I am a Ceramic Pro Installer.<br /><a href=""https://ceramicpro.com/ freequote/"" target=""_blank"" rel=""noopener""><strong>Tap here for a free quote.</strong></a></p>",40.8639379,-73.8890188,Malek Aljayyousi
8,"875 State Rte 5 And 20, Geneva, NY 14456, USA","<a href=""tel:315-759-5025"">315-759-5025</a><br><br /><a href=""http:///"" target=""_blank"" rel=""noopener noreferrer"">WEBSITE</a><br><br /><a href=""mailto:mikeuvanni@myfriendlyauto.com?subject=I%20want%20Ceramic%20Pro%20"">Send Email</a><br>",42.856531,-77.019117,Ceramic Pro Geneva
9,"863 Route 109 W Babylon, NY 11704","<a href=""tel:631-226-4300"">631-226-4300</a><br>",40.715164,-73.38729,Masters Window Tinting and Detail Powered By Ceramic Pro
10,"3165 NY-112, , Medford, NY, 11763","<a href=""tel:631-458-1999"">631-458-1999</a><br>",40.838338,-72.995834,Tint World Powered by Ceramic Pro
